id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
0;Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago;Huperzia;selago;(L. ) Bernh. ex Schrank & Mart.;subsp;selago;;;;
1;Spinulum annotinum (L.) A.Haines subsp. annotinum;Spinulum;annotinum;(L. ) A. Haines;subsp;annotinum;;;;
2;Lycopodium clavatum L.;Lycopodium;clavatum;L.;;;;;;
3;Diphasiastrum alpinum (L.) Holub;Diphasiastrum;alpinum;(L. ) Holub;;;;;;
4;Diphasiastrum complanatum (L.) Holub;Diphasiastrum;complanatum;(L. ) Holub;;;;;;
5;Diphasiastrum tristachyum (Pursh) Holub;Diphasiastrum;tristachyum;(Pursh) Holub;;;;;;
6;Diphasiastrum issleri (Rouy) Holub;Diphasiastrum;issleri;(Rouy) Holub;;;;;;
7;Diphasiastrum oellgaardii Stoor, Boudrie, Jérôme, Horn & Bennert;Diphasiastrum;oellgaardii;Stoor, Boudrie, Jerome, Horn & Bennert;;;;;;
8;Diphasiastrum zeilleri (Rouy) Holub;Diphasiastrum;zeilleri;(Rouy) Holub;;;;;;
9;Lycopodiella inundata (L.) Holub;Lycopodiella;inundata;(L. ) Holub;;;;;;
10;Selaginella selaginoides (L.) P.Beauv. ex Schrank & Mart.;Selaginella;selaginoides;(L. ) P. Beauv. ex Schrank & Mart.;;;;;;
11;Selaginella helvetica (L.) Spring;Selaginella;helvetica;(L. ) Spring;;;;;;
12;Selaginella denticulata (L.) Spring;Selaginella;denticulata;(L. ) Spring;;;;;;
13;Isoëtes lacustris L.;Isoetes;lacustris;L.;;;;;;
14;Isoëtes echinospora Durieu;Isoetes;echinospora;Durieu;;;;;;
15;Isoëtes malinverniana Ces. & De Not.;Isoetes;malinverniana;Ces. & De Not.;;;;;;
16;Isoëtes longissima Bory;Isoetes;longissima;Bory;;;;;;
17;Isoëtes tiguliana Gennari;Isoetes;tiguliana;Gennari;;;;;;
18;Isoëtes histrix Bory;Isoetes;histrix;Bory;;;;;;
19;Isoëtes durieui Bory;Isoetes;durieui;Bory;;;;;;
20;Isoëtes gymnocarpa (Gennari) A.Braun;Isoetes;gymnocarpa;(Gennari) A. Braun;;;;;;
21;Equisetum ramosissimum Desf.;Equisetum;ramosissimum;Desf.;;;;;;
22;Equisetum hyemale L.;Equisetum;hyemale;L.;;;;;;
23;Equisetum variegatum Schleich. ex F.Weber & D.Mohr;Equisetum;variegatum;Schleich. ex F. Weber & D. Mohr;;;;;;
24;Equisetum fluviatile L.;Equisetum;fluviatile;L.;;;;;;
25;Equisetum palustre L.;Equisetum;palustre;L.;;;;;;
26;Equisetum telmateia Ehrh.;Equisetum;telmateia;Ehrh.;;;;;;
27;Equisetum arvense L.;Equisetum;arvense;L.;;;;;;
28;Equisetum sylvaticum L.;Equisetum;sylvaticum;L.;;;;;;
29;Equisetum pratense Ehrh.;Equisetum;pratense;Ehrh.;;;;;;
30;Botrychium lunaria (L.) Sw.;Botrychium;lunaria;(L. ) Sw.;;;;;;
31;Botrychium simplex E.Hitchc.;Botrychium;simplex;E. Hitchc.;;;;;;
32;Botrychium matricariifolium (A.Braun ex Döll) W.D.J.Koch;Botrychium;matricariifolium;(A. Braun ex Doll) W. D. J. Koch;;;;;;
33;Botrychium lanceolatum (S.G.Gmel.) Ångstr.;Botrychium;lanceolatum;(S. G. Gmel. ) Angstr.;;;;;;
34;Sceptridium multifidum (S.G.Gmel.) M.Nishida ex Tagawa;Sceptridium;multifidum;(S. G. Gmel. ) M. Nishida ex Tagawa;;;;;;
35;Botrypus virginianus (L.) Michx.;Botrypus;virginianus;(L. ) Michx.;;;;;;
36;Ophioglossum lusitanicum L.;Ophioglossum;lusitanicum;L.;;;;;;
37;Ophioglossum vulgatum L.;Ophioglossum;vulgatum;L.;;;;;;
38;Ophioglossum azoricum C.Presl;Ophioglossum;azoricum;C. Presl;;;;;;
39;Osmunda regalis L.;Osmunda;regalis;L.;;;;;;
40;Polypodium cambricum L.;Polypodium;cambricum;L.;;;;;;
41;Polypodium vulgare L.;Polypodium;vulgare;L.;;;;;;
42;Polypodium interjectum Shivas;Polypodium;interjectum;Shivas;;;;;;
43;Oeosporangium pteridioides (Reichard) Fraser-Jenk. & Pariyar;Oeosporangium;pteridioides;(Reichard) FraserJenk. & Pariyar;;;;;;
44;Oeosporangium persicum (Bory) Vis.;Oeosporangium;persicum;(Bory) Vis.;;;;;;
45;Oeosporangium acrosticum (Balb.) L.Sáez & Aymerich;Oeosporangium;acrosticum;(Balb. ) L. Saez & Aymerich;;;;;;
46;Oeosporangium tinaei (Tod.) Fraser-Jenk.;Oeosporangium;tinaei;(Tod. ) FraserJenk.;;;;;;
47;Oeosporangium guanchicum (Bolle) Fraser-Jenk. & Pariyar;Oeosporangium;guanchicum;(Bolle) FraserJenk. & Pariyar;;;;;;
48;Paragymnopteris marantae (L.) K.H.Shing subsp. marantae;Paragymnopteris;marantae;(L. ) K. H. Shing;subsp;marantae;;;;
49;Cryptogramma crispa (L.) R.Br. ex Hook.;Cryptogramma;crispa;(L. ) R. Br. ex Hook.;;;;;;
50;Pteris vittata L.;Pteris;vittata;L.;;;;;;
51;Pteris cretica L.;Pteris;cretica;L.;;;;;;
52;Pteris multifida Poir.;Pteris;multifida;Poir.;;;;;;
53;Adiantum capillus-veneris L.;Adiantum;capillusveneris;L.;;;;;;
54;Anogramma leptophylla (L.) Link;Anogramma;leptophylla;(L. ) Link;;;;;;
55;Cosentinia vellea (Aiton) Tod. subsp. vellea;Cosentinia;vellea;(Aiton) Tod.;subsp;vellea;;;;
56;Nephrolepis cordifolia (L.) C.Presl;Nephrolepis;cordifolia;(L. ) C. Presl;;;;;;
57;Marsilea quadrifolia L.;Marsilea;quadrifolia;L.;;;;;;
58;Marsilea strigosa Willd.;Marsilea;strigosa;Willd.;;;;;;
59;Pilularia minuta Durieu;Pilularia;minuta;Durieu;;;;;;
60;Pilularia globulifera L.;Pilularia;globulifera;L.;;;;;;
61;Hymenophyllum tunbrigense (L.) Sm.;Hymenophyllum;tunbrigense;(L. ) Sm.;;;;;;
62;Vandenboschia speciosa (Willd.) G.Kunkel;Vandenboschia;speciosa;(Willd. ) G. Kunkel;;;;;;
63;Pteridium aquilinum (L.) Kuhn subsp. aquilinum;Pteridium;aquilinum;(L. ) Kuhn;subsp;aquilinum;;;;
64;Phegopteris connectilis (Michx.) Watt;Phegopteris;connectilis;(Michx. ) Watt;;;;;;
65;Oreopteris limbosperma (All.) Holub;Oreopteris;limbosperma;(All. ) Holub;;;;;;
66;Thelypteris palustris Schott;Thelypteris;palustris;Schott;;;;;;
67;Christella dentata (Forssk.) Brownsey & Jermy;Christella;dentata;(Forssk. ) Brownsey & Jermy;;;;;;
68;Asplenium onopteris L.;Asplenium;onopteris;L.;;;;;;
69;Asplenium cuneifolium Viv. subsp. cuneifolium;Asplenium;cuneifolium;Viv.;subsp;cuneifolium;;;;
70;Asplenium adiantum-nigrum L. subsp. adiantum-nigrum;Asplenium;adiantumnigrum;L.;subsp;adiantumnigrum;;;;
71;Asplenium obovatum Viv.;Asplenium;obovatum;Viv.;;;;;;
72;Asplenium obovatum Viv. subsp. obovatum;Asplenium;obovatum;Viv.;subsp;obovatum;;;;
73;Asplenium obovatum Viv. subsp. billotii (F.W.Schultz ) O.Bolòs, Vigo, Masalles & Ninot;Asplenium;obovatum;Viv.;subsp;billotii;(F. W. Schultz ) O. Bolos, Vigo, Masalles & Ninot;;;
74;Asplenium balearicum Shivas;Asplenium;balearicum;Shivas;;;;;;
75;Asplenium fontanum (L.) Bernh. subsp. fontanum;Asplenium;fontanum;(L. ) Bernh.;subsp;fontanum;;;;
76;Asplenium foreziense Le Grand ex Magnier;Asplenium;foreziense;Le Grand ex Magnier;;;;;;
77;Asplenium petrarchae (Guérin) DC. subsp. petrarchae;Asplenium;petrarchae;(Guerin) DC.;subsp;petrarchae;;;;
78;Asplenium trichomanes L.;Asplenium;trichomanes;L.;;;;;;
79;Asplenium trichomanes L. subsp. trichomanes;Asplenium;trichomanes;L.;subsp;trichomanes;;;;
80;Asplenium trichomanes L. subsp. inexpectans Lovis;Asplenium;trichomanes;L.;subsp;inexpectans;Lovis;;;
81;Asplenium trichomanes L. subsp. quadrivalens D.E.Mey.;Asplenium;trichomanes;L.;subsp;quadrivalens;D. E. Mey.;;;
82;Asplenium trichomanes L. subsp. pachyrachis (Christ) Lovis & Reichst.;Asplenium;trichomanes;L.;subsp;pachyrachis;(Christ) Lovis & Reichst.;;;
83;Asplenium viride Huds.;Asplenium;viride;Huds.;;;;;;
84;Asplenium adulterinum Milde;Asplenium;adulterinum;Milde;;;;;;
85;Asplenium presolanense (Mokry, Rasbach & Reichst.) J.C.Vogel & Rumsey;Asplenium;presolanense;(Mokry, Rasbach & Reichst. ) J. C. Vogel & Rumsey;;;;;;
86;Asplenium marinum L.;Asplenium;marinum;L.;;;;;;
87;Asplenium fissum Kit. ex Willd.;Asplenium;fissum;Kit. ex Willd.;;;;;;
88;Asplenium ruta-muraria L.;Asplenium;rutamuraria;L.;;;;;;
89;Asplenium ruta-muraria L. subsp. ruta-muraria;Asplenium;rutamuraria;L.;subsp;rutamuraria;;;;
90;Asplenium ruta-muraria L. subsp. dolomiticum Lovis & Reichst.;Asplenium;rutamuraria;L.;subsp;dolomiticum;Lovis & Reichst.;;;
91;Asplenium lepidum C.Presl subsp. lepidum;Asplenium;lepidum;C. Presl;subsp;lepidum;;;;
92;Asplenium seelosii Leyb. subsp. seelosii;Asplenium;seelosii;Leyb.;subsp;seelosii;;;;
93;Asplenium septentrionale (L.) Hoffm. subsp. septentrionale;Asplenium;septentrionale;(L. ) Hoffm.;subsp;septentrionale;;;;
94;Asplenium ceterach L.;Asplenium;ceterach;L.;;;;;;
95;Asplenium ceterach L. subsp. ceterach;Asplenium;ceterach;L.;subsp;ceterach;;;;
96;Asplenium ceterach L. subsp. bivalens (D.E.Mey.) Greuter & Burdet;Asplenium;ceterach;L.;subsp;bivalens;(D. E. Mey. ) Greuter & Burdet;;;
97;Asplenium scolopendrium L. subsp. scolopendrium;Asplenium;scolopendrium;L.;subsp;scolopendrium;;;;
98;Asplenium sagittatum (DC.) Bange;Asplenium;sagittatum;(DC. ) Bange;;;;;;
99;Matteuccia struthiopteris (L.) Tod.;Matteuccia;struthiopteris;(L. ) Tod.;;;;;;
100;Woodsia ilvensis (L.) R.Br.;Woodsia;ilvensis;(L. ) R. Br.;;;;;;
101;Woodsia alpina (Bolton) Gray;Woodsia;alpina;(Bolton) Gray;;;;;;
102;Woodsia pulchella Bertol.;Woodsia;pulchella;Bertol.;;;;;;
103;Cystopteris fragilis (L.) Bernh.;Cystopteris;fragilis;(L. ) Bernh.;;;;;;
104;Cystopteris diaphana (Bory) Blasdell;Cystopteris;diaphana;(Bory) Blasdell;;;;;;
105;Cystopteris alpina (Lam.) Desv.;Cystopteris;alpina;(Lam. ) Desv.;;;;;;
106;Cystopteris dickieana R.Sim;Cystopteris;dickieana;R. Sim;;;;;;
107;Cystopteris montana (Lam.) Bernh. ex Desv.;Cystopteris;montana;(Lam. ) Bernh. ex Desv.;;;;;;
108;Cystopteris sudetica A.Braun & Milde;Cystopteris;sudetica;A. Braun & Milde;;;;;;
109;Gymnocarpium dryopteris (L.) Newman;Gymnocarpium;dryopteris;(L. ) Newman;;;;;;
110;Gymnocarpium robertianum (Hoffm.) Newman;Gymnocarpium;robertianum;(Hoffm. ) Newman;;;;;;
111;Athyrium filix-femina (L.) Roth;Athyrium;filixfemina;(L. ) Roth;;;;;;
112;Pseudathyrium alpestre (Hoppe) Newman;Pseudathyrium;alpestre;(Hoppe) Newman;;;;;;
